Timestamp,MemTotal,MemFree,MemAvailable,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Unevictable,Mlocked,SwapTotal,SwapFree,Zswap,Zswapped,Dirty,Writeback,AnonPages,Mapped,Shmem,KReclaimable,Slab,SReclaimable,SUnreclaim,KernelStack,PageTables,SecPageTables,NFS_Unstable,Bounce,WritebackTmp,CommitLimit,Committed_AS,VmallocTotal,VmallocUsed,VmallocChunk,Percpu,HardwareCorrupted,AnonHugePages,ShmemHugePages,ShmemPmdMapped,FileHugePages,FilePmdMapped,CmaTotal,CmaFree,Unaccepted,HugePages_Total,HugePages_Free,HugePages_Rsvd,HugePages_Surp,Hugepagesize,Hugetlb,DirectMap4k,DirectMap2M,DirectMap1G
1699520648,7419132,3253760,3962680,21128,887740,258212,1654640,1029928,1358976,466856,295664,563072,32,32,4194300,2388276,407512,1790680,996,0,1771968,557920,50388,135428,330928,135428,195500,18912,50416,0,0,0,0,7903864,13296468,34359738367,91760,0,12288,0,786432,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520649,7419132,3079740,3788404,21128,887444,261788,1810980,1043932,1514980,481468,296000,562464,32,32,4194300,2382132,409620,1797172,276,0,1942852,560540,50388,135460,331168,135460,195708,18944,50624,0,0,0,0,7903864,13315548,34359738367,91792,0,12288,0,954368,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520650,7419132,3197000,3905436,21128,887528,263936,1682104,1063900,1386392,501344,295712,562556,32,32,4194300,2379316,410476,1799904,248,0,1833888,557772,50388,135396,331112,135396,195716,18960,50480,0,0,0,0,7903864,13296812,34359738367,91808,0,12288,0,849920,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520651,7419132,3286036,3996680,21220,889928,260428,1595432,1053628,1297428,491156,298004,562472,32,32,4194300,2380596,410472,1798496,172,0,1733640,558176,50388,135396,331120,135396,195724,18912,50448,0,0,0,0,7903864,13297316,34359738367,91744,0,12288,0,749568,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520652,7419132,3204744,3926452,21320,900356,247340,1737428,1009232,1428388,446732,309040,562500,32,32,4194300,2385204,410392,1793888,304,0,1820556,564360,50392,135396,330864,135396,195468,18912,50340,0,0,0,0,7903864,13297356,34359738367,91776,0,12288,0,843776,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520654,7419132,3327892,4095348,21308,946640,194908,1559612,1040216,1218408,464132,341204,576084,32,32,4194300,2395188,410284,1783916,328,0,1628192,589876,50392,135396,330864,135396,195468,18912,50564,0,0,0,0,7903864,13262956,34359738367,91744,0,12288,0,696320,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520655,7419132,3184740,3985372,21264,979608,144048,1690276,1058788,1339920,458696,350356,600092,32,32,4194300,2421332,409892,1757428,328,0,1744136,616976,50392,135428,330900,135428,195472,18896,50396,0,0,0,0,7903864,13262992,34359738367,91776,0,12288,0,833536,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520656,7419132,3280096,4103236,21236,1002148,115268,1659288,1005188,1266672,424848,392616,580340,32,32,4194300,2430552,409664,1748232,328,0,1637344,639892,50392,135428,330888,135428,195460,18984,50356,0,0,0,0,7903864,13297912,34359738367,91856,0,12288,0,749568,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520657,7419132,3247124,4078492,21164,1010416,102424,1674992,1016360,1289296,420872,385696,595488,32,32,4194300,2438488,409484,1740640,316,0,1656944,649500,50396,135428,330888,135428,195460,18912,49892,0,0,0,0,7903864,13298376,34359738367,91776,0,12288,0,768000,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
1699520658,7419132,3212220,4055192,21156,1021780,91964,1689092,1019976,1286464,429816,402628,590160,32,32,4194300,2437208,409320,1741916,192,0,1662728,651012,50396,135428,330888,135428,195460,18984,50332,0,0,0,0,7903864,13298020,34359738367,91808,0,12288,0,790528,0,0,43008,43008,0,0,0,0,0,0,0,2048,0,1716624,5951488,1048576
